"Notes","Leading Cancer Sites","Leading Cancer Sites Code","State","State Code","Age Group","Age Group Code",Deaths
,"Brain and Other Nervous System","31010-31040","Alabama","01","1-4 years","1-4",44
,"Brain and Other Nervous System","31010-31040","Alabama","01","5-9 years","5-9",59
,"Brain and Other Nervous System","31010-31040","Alabama","01","10-14 years","10-14",48
,"Brain and Other Nervous System","31010-31040","Alabama","01","15-19 years","15-19",44
,"Brain and Other Nervous System","31010-31040","Alabama","01","20-24 years","20-24",40
,"Brain and Other Nervous System","31010-31040","Alabama","01","25-29 years","25-29",43
,"Brain and Other Nervous System","31010-31040","Alabama","01","30-34 years","30-34",95
,"Brain and Other Nervous System","31010-31040","Alabama","01","35-39 years","35-39",124
,"Brain and Other Nervous System","31010-31040","Alabama","01","40-44 years","40-44",200
,"Brain and Other Nervous System","31010-31040","Alabama","01","45-49 years","45-49",261
,"Brain and Other Nervous System","31010-31040","Alabama","01","50-54 years","50-54",462
,"Brain and Other Nervous System","31010-31040","Alabama","01","55-59 years","55-59",639
,"Brain and Other Nervous System","31010-31040","Alabama","01","60-64 years ","60-64",720
,"Brain and Other Nervous System","31010-31040","Alabama","01","65-69 years","65-69",814
,"Brain and Other Nervous System","31010-31040","Alabama","01","70-74 years","70-74",798
,"Brain and Other Nervous System","31010-31040","Alabama","01","75-79 years","75-79",621
,"Brain and Other Nervous System","31010-31040","Alabama","01","80-84 years","80-84",526
,"Brain and Other Nervous System","31010-31040","Alabama","01","85+ years","85+",378
,"Brain and Other Nervous System","31010-31040","Alaska","02","35-39 years","35-39",21
,"Brain and Other Nervous System","31010-31040","Alaska","02","40-44 years","40-44",31
,"Brain and Other Nervous System","31010-31040","Alaska","02","45-49 years","45-49",29
,"Brain and Other Nervous System","31010-31040","Alaska","02","50-54 years","50-54",62
,"Brain and Other Nervous System","31010-31040","Alaska","02","55-59 years","55-59",66
,"Brain and Other Nervous System","31010-31040","Alaska","02","60-64 years ","60-64",91
,"Brain and Other Nervous System","31010-31040","Alaska","02","65-69 years","65-69",81
,"Brain and Other Nervous System","31010-31040","Alaska","02","70-74 years","70-74",54
,"Brain and Other Nervous System","31010-31040","Alaska","02","75-79 years","75-79",57
,"Brain and Other Nervous System","31010-31040","Alaska","02","80-84 years","80-84",32
,"Brain and Other Nervous System","31010-31040","Alaska","02","85+ years","85+",22
,"Brain and Other Nervous System","31010-31040","Arizona","04","1-4 years","1-4",49
,"Brain and Other Nervous System","31010-31040","Arizona","04","5-9 years","5-9",93
,"Brain and Other Nervous System","31010-31040","Arizona","04","10-14 years","10-14",48
,"Brain and Other Nervous System","31010-31040","Arizona","04","15-19 years","15-19",57
,"Brain and Other Nervous System","31010-31040","Arizona","04","20-24 years","20-24",53
,"Brain and Other Nervous System","31010-31040","Arizona","04","25-29 years","25-29",81
,"Brain and Other Nervous System","31010-31040","Arizona","04","30-34 years","30-34",113
,"Brain and Other Nervous System","31010-31040","Arizona","04","35-39 years","35-39",150
,"Brain and Other Nervous System","31010-31040","Arizona","04","40-44 years","40-44",245
,"Brain and Other Nervous System","31010-31040","Arizona","04","45-49 years","45-49",334
,"Brain and Other Nervous System","31010-31040","Arizona","04","50-54 years","50-54",452
,"Brain and Other Nervous System","31010-31040","Arizona","04","55-59 years","55-59",645
,"Brain and Other Nervous System","31010-31040","Arizona","04","60-64 years ","60-64",790
,"Brain and Other Nervous System","31010-31040","Arizona","04","65-69 years","65-69",858
,"Brain and Other Nervous System","31010-31040","Arizona","04","70-74 years","70-74",864
,"Brain and Other Nervous System","31010-31040","Arizona","04","75-79 years","75-79",844
,"Brain and Other Nervous System","31010-31040","Arizona","04","80-84 years","80-84",586
,"Brain and Other Nervous System","31010-31040","Arizona","04","85+ years","85+",525
,"Brain and Other Nervous System","31010-31040","Arkansas","05","1-4 years","1-4",23
,"Brain and Other Nervous System","31010-31040","Arkansas","05","5-9 years","5-9",45
,"Brain and Other Nervous System","31010-31040","Arkansas","05","10-14 years","10-14",22
,"Brain and Other Nervous System","31010-31040","Arkansas","05","15-19 years","15-19",26
,"Brain and Other Nervous System","31010-31040","Arkansas","05","20-24 years","20-24",25
,"Brain and Other Nervous System","31010-31040","Arkansas","05","25-29 years","25-29",38
,"Brain and Other Nervous System","31010-31040","Arkansas","05","30-34 years","30-34",54
,"Brain and Other Nervous System","31010-31040","Arkansas","05","35-39 years","35-39",86
,"Brain and Other Nervous System","31010-31040","Arkansas","05","40-44 years","40-44",102
,"Brain and Other Nervous System","31010-31040","Arkansas","05","45-49 years","45-49",165
,"Brain and Other Nervous System","31010-31040","Arkansas","05","50-54 years","50-54",260
,"Brain and Other Nervous System","31010-31040","Arkansas","05","55-59 years","55-59",369
,"Brain and Other Nervous System","31010-31040","Arkansas","05","60-64 years ","60-64",448
,"Brain and Other Nervous System","31010-31040","Arkansas","05","65-69 years","65-69",530
,"Brain and Other Nervous System","31010-31040","Arkansas","05","70-74 years","70-74",533
,"Brain and Other Nervous System","31010-31040","Arkansas","05","75-79 years","75-79",461
,"Brain and Other Nervous System","31010-31040","Arkansas","05","80-84 years","80-84",306
,"Brain and Other Nervous System","31010-31040","Arkansas","05","85+ years","85+",290
,"Brain and Other Nervous System","31010-31040","California","06","< 1 year","1",56
,"Brain and Other Nervous System","31010-31040","California","06","1-4 years","1-4",295
,"Brain and Other Nervous System","31010-31040","California","06","5-9 years","5-9",562
,"Brain and Other Nervous System","31010-31040","California","06","10-14 years","10-14",424
,"Brain and Other Nervous System","31010-31040","California","06","15-19 years","15-19",321
,"Brain and Other Nervous System","31010-31040","California","06","20-24 years","20-24",335
,"Brain and Other Nervous System","31010-31040","California","06","25-29 years","25-29",468
,"Brain and Other Nervous System","31010-31040","California","06","30-34 years","30-34",624
,"Brain and Other Nervous System","31010-31040","California","06","35-39 years","35-39",944
,"Brain and Other Nervous System","31010-31040","California","06","40-44 years","40-44",1353
,"Brain and Other Nervous System","31010-31040","California","06","45-49 years","45-49",2116
,"Brain and Other Nervous System","31010-31040","California","06","50-54 years","50-54",2924
,"Brain and Other Nervous System","31010-31040","California","06","55-59 years","55-59",3885
,"Brain and Other Nervous System","31010-31040","California","06","60-64 years ","60-64",4391
,"Brain and Other Nervous System","31010-31040","California","06","65-69 years","65-69",4520
,"Brain and Other Nervous System","31010-31040","California","06","70-74 years","70-74",4373
,"Brain and Other Nervous System","31010-31040","California","06","75-79 years","75-79",3865
,"Brain and Other Nervous System","31010-31040","California","06","80-84 years","80-84",3088
,"Brain and Other Nervous System","31010-31040","California","06","85+ years","85+",3145
,"Brain and Other Nervous System","31010-31040","Colorado","08","1-4 years","1-4",40
,"Brain and Other Nervous System","31010-31040","Colorado","08","5-9 years","5-9",70
,"Brain and Other Nervous System","31010-31040","Colorado","08","10-14 years","10-14",51
,"Brain and Other Nervous System","31010-31040","Colorado","08","15-19 years","15-19",39
,"Brain and Other Nervous System","31010-31040","Colorado","08","20-24 years","20-24",41
,"Brain and Other Nervous System","31010-31040","Colorado","08","25-29 years","25-29",65
,"Brain and Other Nervous System","31010-31040","Colorado","08","30-34 years","30-34",96
,"Brain and Other Nervous System","31010-31040","Colorado","08","35-39 years","35-39",134
,"Brain and Other Nervous System","31010-31040","Colorado","08","40-44 years","40-44",200
,"Brain and Other Nervous System","31010-31040","Colorado","08","45-49 years","45-49",310
,"Brain and Other Nervous System","31010-31040","Colorado","08","50-54 years","50-54",427
,"Brain and Other Nervous System","31010-31040","Colorado","08","55-59 years","55-59",538
,"Brain and Other Nervous System","31010-31040","Colorado","08","60-64 years ","60-64",688
,"Brain and Other Nervous System","31010-31040","Colorado","08","65-69 years","65-69",675
,"Brain and Other Nervous System","31010-31040","Colorado","08","70-74 years","70-74",591
,"Brain and Other Nervous System","31010-31040","Colorado","08","75-79 years","75-79",503
,"Brain and Other Nervous System","31010-31040","Colorado","08","80-84 years","80-84",350
,"Brain and Other Nervous System","31010-31040","Colorado","08","85+ years","85+",327
,"Brain and Other Nervous System","31010-31040","Connecticut","09","1-4 years","1-4",21
,"Brain and Other Nervous System","31010-31040","Connecticut","09","5-9 years","5-9",49
,"Brain and Other Nervous System","31010-31040","Connecticut","09","10-14 years","10-14",26
